3034,2680,5730,1180,5740,40049,26860,14230,40050,7000,40032,35318,28680,19510,2370,40046,6360,600,55583,55778,56031,56021,8760,8641,12640,8080,55661,55780,82175,81364,82227,9581,9147,82235,23561,9575,55656,99604,55578,35350,76700,39080,38160,35230,38610,51520,2672,420,52200,47719,51403,2200,590,619,2244,41904,72456,10914,640,98754,10917,71960,99603,7140,620,99903,45140,46530,11910,26510,430,28300,450,75790,11890,29130,10912,558,23915,25791,10083,1108,75414,25793,23910,75418,10911,75415,80710,10328,1230,26641,10210,1580,23890,75417,38024,621,75405,9580,75406,9605,75403,9133,73366,71961,73342,67320,71322,71300,70850,66700,74437,67015,68780,73407,71326,73340,84825,68750,80498,73240,68390,73248,72305,73167,74450,68003,65287,68409,73282,67460,70802,68592,60922,57774,48949,61180,48810,47263,59310,2297,31060,1471,57451,59882,57458,59314,39431,481,39983,1562,49586,320,72487,700,35319,12880,23180,990005,35317,30430,99121,99263,30870,45651,60410,3881,3810,59316,58114,99900,46505,60320,46477,59870,46479,3061,1499,16100,2875,2570,605,2690,41300,2050,64555,43706,27320,19830,480,11870,12550,515,22730,13270,61201,60752,60790,50480,60780,60921,61080,61190,60660,80438,48950,57459,79248,52300,5960,29225,570,990001,68809,68150,73758,73757,98750,16416,990003,36960,7498,9584,9660,3400,11060,455,41970,1303,41980,26520,27420,11090,73816,23230,31970,32364,32011,39471,31990,31930,16103,75000,16220,9134,9582,2180,29266,2360,2640,3032,29262,19420,13277,66710,67014,68502,67009,68085,68160,69021,68873,67510,73108,68410,67540,68094,68871,68398,73106,73872,2275,4500,9999,3930,2245,4200,2250,575,37990,43110,16390,23920,6240,16430,25792,43130,37359,23250,37360,29231,37980,38000,17740,14360,9690,75410,22260,20041,85210,20090,82230,38680,98780,38653,23750,38840,25201,38145,29930,99101,59810,59842,62216,59891,4572,2282,52311,46478,59938,62198,46465,57159
2680,3034,1180,5730,1180,26860,40049,40049,7000,40032,40050,40050,40049,40049,40049,26860,40049,40049,55778,56031,55583,8760,56021,56021,56021,55778,56031,56021,81364,82175,9581,9147,82227,23561,82235,82227,99604,55656,99604,76700,39080,35350,76700,35350,35230,2672,420,51520,47719,51403,52200,590,2200,2200,41904,2244,10914,72456,72456,10917,98754,10914,7140,620,99603,99603,46530,46530,26510,430,11910,11910,11910,11910,28300,9575,558,10912,23915,23915,1108,10083,10912,23910,9581,23915,75415,10912,10328,1230,80710,1230,1580,80710,75417,23890,621,38024,38024,10911,9605,75406,9133,75403,71961,73366,71961,71322,67320,70850,71300,74437,67015,66700,71300,71326,73407,71961,73342,73407,73240,73407,73248,68390,73342,72305,71322,73407,67015,73407,67460,73282,68592,70802,55578,48949,99903,48810,61180,57774,57774,31060,60922,55578,1471,55578,59314,57451,619,39431,39431,39431,320,49586,700,72305,12880,35319,990005,23180,99903,99121,30430,30430,45651,30430,3881,30430,30870,3810,30870,3810,60320,46477,46505,46505,46505,46505,16100,2875,1499,605,2570,2570,600,605,43706,64555,19830,480,27320,2672,515,12550,11890,11890,60752,61201,50480,60790,99603,60780,60790,60660,61190,61201,57459,61190,60921,60780,1180,1180,3034,1108,68150,68809,700,68809,68809,9581,99603,7498,16416,990003,16416,99121,3400,99603,11060,990005,26520,1180,41980,1180,621,990005,32364,32011,31970,32364,32364,32011,12880,12880,12880,38024,990001,29266,2180,2640,2360,2180,2180,570,2180,64555,66710,64555,68502,68160,68085,68873,69021,68873,68410,68160,68873,67540,68160,68410,68871,71961,4500,9999,2275,2245,29266,29266,99603,29266,43110,990005,37990,6240,23920,23915,25793,6240,990003,990005,23250,25792,990005,990005,14360,17740,75410,9690,20041,22260,20041,22260,38680,82230,38653,23750,98780,81364,98780,29930,98780,990003,59842,59810,59842,59810,59810,46479,59842,59810,59810,59842,57159,59842
,,1180,5730,1180,26860,40049,,35318,,,40050,,40046,40049,,,,56031,8760,55583,8641,55778,,,56031,8080,,,,9147,9147,82227,,,,99604,55656,99604,35230,38160,,,35350,,2672,420,2672,,,,619,,,,,10914,72456,,,,,99903,,,99603,46530,45140,28300,,,450,11890,,,,,,25791,,9581,,23915,75414,,,,,26641,,80710,1230,,,75417,23890,75405,,,,10911,,,,,73342,84825,,74450,68780,,68003,,71300,73407,68780,,,,68390,,73342,73240,,,,,68409,,,,,,,2297,47263,59310,,,57774,,,,,57458,48949,,,39983,,,39431,,,700,72487,12880,35319,,,,99263,,30430,3810,,3810,,60410,3810,,,59870,46479,46505,46505,,,,,,605,2570,,,605,,11890,,43706,11870,481,,,,,80438,,1108,,59314,48950,60790,48950,,,79248,,,,,,,,68150,68809,,,,36960,9581,,,16416,,99121,3400,,,,27420,,,1180,,,32364,31970,32364,32011,32011,,12880,,,,11060,3032,,570,,2180,2180,,,64555,66710,64555,,68160,73108,,67510,68871,68871,68085,67510,,68160,,,67510,,2672,,2245,29266,29266,,,990003,990005,23561,,23915,37990,990005,,25793,,,,35318,,14360,17740,75410,9690,20041,22260,20041,22260,,98780,38653,23750,98780,81364,,,,,59891,62216,,,59810,59842,,,,,,59842
,,,5740,,26860,40049,,35318,,,,,40049,,,,,,55778,55661,12640,,,,,55780,,,,9147,,82227,,,,99604,55656,,35230,35350,,,35350,,,420,51520,,,,,,,,,10914,72456,,,,,99903,,,99603,46530,45140,450,,,,11910,,,,,,75414,,,,25793,,,,,,26641,,80710,1230,,,75417,23890,,,,,,,,,,73340,73342,,,65287,,68750,,,,68750,,,,66700,,68390,68750,,,,,,,,,,,,59882,48949,60922,,,,,,,,,,,,1562,,,,,,,,12880,35319,,,,30870,,30430,59316,,3810,,30430,3810,,,60320,46477,46505,,,,,,,600,2570,,,605,,11890,,480,,19830,,,,,,,1108,,52300,60780,,,,,,,,,,,,,68150,68809,,,,990003,16416,,,,,99121,3400,,,,,,,,,,32011,32011,31970,,,,12880,,,,,3032,,2180,,2180,2180,,,64555,64555,64555,,68160,73108,,68094,68085,68160,,,,67540,,,67510,,29266,,2245,29266,3930,,,35318,990005,23230,,37990,25792,990005,,,,,,,,14360,17740,75410,9690,20041,85210,20041,,,98780,38680,,,81364,,,,,4572,59810,,,59810,59810,,,,,,
,,,5740,,14230,40049,,,,,,,,,,,,,55778,55661,55661,,,,,,,,,9147,,82227,,,,99604,55578,,35230,,,,38610,,,420,2672,,,,,,,,,640,72456,,,,,99903,,,99603,46530,45140,99903,,,,,,,,,,10917,,,,23915,,,,,,26641,,80710,1230,,,,,,,,,,,,,,73407,73240,,,,,,,,,80498,,,,,,,,,,,,,,,,,,,,47263,,,,,,,,,,,,,1562,,,,,,,,12880,35319,,,,60410,,30430,3810,,3810,,30430,3810,,,60320,3061,46505,,,,,,,605,2570,,,,,11890,,,,,,,,,,,1108,,,,,,,,,,,,,,,,68150,68809,,,,990003,99603,,,,,99121,3400,,,,,,,,,,32364,39471,31970,,,,12880,,,,,29262,,,,2180,,,,64555,68502,64555,,,73108,,,73872,68160,,,,68160,,,,,29266,,1108,,,,,6240,990005,,,37990,37980,43110,,,,,,,,40049,,75410,9690,20041,22260,20041,,,38840,38680,,,,,,,,2282,59810,,,2282,59842,,,,,,
,,,,,26860,28680,,,,,,,,,,,,,8080,,,,,,,,,,,9147,,82227,,,,99604,55656,,35230,,,,35350,,,420,2672,,,,,,,,,10914,72456,,,,,99903,,,99603,46530,45140,75790,,,,,,,,,,75414,,,,,,,,,,10210,,80710,1230,,,,,,,,,,,,,,,73167,,,,,,,,,71961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,30430,58114,,3810,,30430,,,,60320,46477,46505,,,,,,,605,2050,,,,,11890,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,68809,,,,9584,9581,,,,,99121,3400,,,,,,,,,,32364,32011,31990,,,,12880,,,,,3032,,,,,,,,64555,66710,,,,71961,,,,68871,,,,,,,,,2672,,,,,,,43110,,,,,25793,35318,,,,,,,,,,75410,9690,20090,22260,,,,98780,98780,,,,,,,,52311,59810,,,,59842,,,,,,
,,,,,26860,19510,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,99604,55656,,76700,,,,,,,420,2672,,,,,,,,,10914,71960,,,,,99903,,,99603,46530,45140,450,,,,,,,,,,23915,,,,,,,,,,1230,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,66700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,30430,,,,,30430,,,,46477,46477,,,,,,,,2690,2050,,,,,11890,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,68809,,,,75405,99603,,,,,99121,3400,,,,,,,,,,,32011,39471,,,,12880,,,,,3032,,,,,,,,64555,68502,,,,68398,,,,,,,,,,,,,2672,,,,,,,23230,,,,,990003,,,,,,,,,,,75410,9690,20041,22260,,,,39080,25201,,,,,,,,2282,59810,,,,59842,,,,,,
,,,,,26860,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,99604,55656,,,,,,,,,420,2672,,,,,,,,,,,,,,,99903,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,68003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,30430,,,,,30430,,,,46505,,,,,,,,,,2050,,,,,11890,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,68809,,,,,9581,,,,,99121,3400,,,,,,,,,,,31970,31990,,,,12880,,,,,29262,,,,,,,,,68502,,,,73106,,,,,,,,,,,,,29266,,,,,,,25793,,,,,,,,,,,,,,,,75410,9690,20041,22260,,,,,38680,,,,,,,,59810,59810,,,,59842,,,,,,
,,,,,26860,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,99604,55578,,,,,,,,,420,2672,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59316,,30430,,,,,30870,,,,46505,,,,,,,,,,,,,,,19830,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,68809,,,,,9581,,,,,99121,3400,,,,,,,,,,,,31930,,,,12880,,,,,2360,,,,,,,,,66710,,,,73108,,,,,,,,,,,,,29266,,,,,,,,,,,,,,,,,,,,,,,75410,9690,20090,85210,,,,,38145,,,,,,,,46478,59810,,,,59842,,,,,,
,,,,,2370,19510,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,99604,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,,,,,,59316,,,,60320,,,,,,,,,,,,,,,11890,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,73757,,,,,99603,,,,,99121,3400,,,,,,,,,,,,,,,,12880,,,,,13277,,,,,,,,,,,,,73108,,,,,,,,,,,,,2672,,,,,,,,,,,,,,,,,,,,,,,75410,9690,20041,85210,,,,,,,,,,,,,59938,59810,,,,59842,,,,,,
,,,,,26860,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,99604,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,,,,,,30870,,,,59870,,,,,,,,,,,,,,,22730,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,68809,,,,,99603,,,,,99121,3400,,,,,,,,,,,,,,,,12880,,,,,29262,,,,,,,,,,,,,71961,,,,,,,,,,,,,2672,,,,,,,,,,,,,,,,,,,,,,,75410,9690,,85210,,,,,,,,,,,,,4572,59810,,,,59810,,,,,,
,,,,,26860,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,99604,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60410,,,,,,,60410,,,,60320,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,68809,,,,,,,,,,99121,3400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73872,,,,,,,,,,,,,2672,,,,,,,,,,,,,,,,,,,,,,,,,,22260,,,,,,,,,,,,,2282,59810,,,,59842,,,,,,
,,,,,26860,19510,,,,,,,,,,,,,,,,,,,,,,,,9581,,82227,,,,99604,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,1230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810,,,,,,,30430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68150,98750,,,,,,,,,,99121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4572,59810,,,,,,,,,,
,,,,,6360,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,1230,,80710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3810,,,,,,,30430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,59810,,,,,,,,,,
,,,,,26860,40049,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,55656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,4572,,,,,,,,,,
,,,,,26860,,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,1230,,80710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,,,,,,
,,,,,26860,,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,80710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62198,,,,,,,,,,,
,,,,,2370,,,,,,,,,,,,,,,,,,,,,,,,,9147,,82227,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46530,45140,,,,,,,,,,,,,,,,,,,,,26641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46465,,,,,,,,,,,
,,,,,600,,,,,,,,,,,,,,,,,,,,,,,,,9575,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11910,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75418,,,,,,,,,,,,,,,,75414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2282,,,,,,,,,,,
